conditions,pretrained_colour,pretrained_grey,untrained_colour,untrained_grey
"('convnext-base', 0.0005, 0.9, 32)",,0.911,,
"('vitb16', 0.001, 0.9, 32)",,,,0.806
"('vitb16', 0.0005, 0.99, 32)",,,0.51,0.501
"('densenet121', 0.001, 0.95, 32)",,,0.933,0.877
"('vitb16', 0.0001, 0.99, 32)",,,,0.796
"('vitb16', 0.0005, 0.9, 64)",,,0.898,0.805
"('resnet50', 0.001, 0.9, 32)",,,,0.861
"('resnet50', 0.001, 0.95, 32)",,,0.93,0.871
"('resnet34', 0.001, 0.9, 32)",,,,0.874
"('resnet18', 0.0005, 0.95, 32)",,,,0.869
"('convnext-tiny', 0.0001, 0.9, 64)",,,0.611,0.54
"('resnet50', 0.0005, 0.95, 32)",,,,0.859
"('resnet50-wide', 0.0005, 0.95, 64)",,0.927,,
"('convnext-tiny', 0.001, 0.95, 32)",,,,0.55
"('vitb16', 0.0005, 0.9, 32)",,,,0.788
